,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
711,711,Lubavitch Chadbad Jewish Ctr,2021 NW 5th Ave,GAINESVILLE,FL,32603,29.655408,-82.350047,813110,81311041,Religious Organizations,0,2.0,0,2,1918,612,963,955,50%,50%,1808,39,0,28,0,43,0,152,1695,94.26485923,2.03336809,0.0,1.45985401,0.0,2.24191867,0.0,7.92492179,3.09,125,1528,206,118,22,940,696,0,83,0,43,0,118,1291,614,216,0,40,15,39,0,0,45,10,0,85,29,70,9,23,31,29630,6.56934307,53.43189018
718,718,United Church of Gainesville,1624 NW 5th Ave,GAINESVILLE,FL,32603,29.656114000000002,-82.344174,813110,81311008,Religious Organizations,0,13.0,0,13,1918,612,963,955,50%,50%,1808,39,0,28,0,43,0,152,1695,94.26485923,2.03336809,0.0,1.45985401,0.0,2.24191867,0.0,7.92492179,3.09,125,1528,206,118,22,940,696,0,83,0,43,0,118,1291,614,216,0,40,15,39,0,0,45,10,0,85,29,70,9,23,31,29630,6.56934307,53.43189018
839,839,Baptist Collegiate Ministries,1604 W University Ave,GAINESVILLE,FL,32603,29.652465999999997,-82.34358,813110,81311021,Religious Organizations,0,2.0,0,2,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
845,845,Chapel-Incarnation,1522 W University Ave,GAINESVILLE,FL,32603,29.652477,-82.342322,813110,81311008,Religious Organizations,0,4.0,0,4,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
848,848,Christian Campus House,1810 NW 1st Ave,GAINESVILLE,FL,32603,29.652844,-82.346643,813110,81311008,Religious Organizations,0,3.0,0,3,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
849,849,Christian Study Ctr Ginesville,112 NW 16th St,GAINESVILLE,FL,32603,29.653215000000003,-82.343502,813110,81311008,Religious Organizations,0,3.0,0,3,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
857,857,First Lutheran Church,1801 NW 5th Ave,GAINESVILLE,FL,32603,29.6555,-82.34571700000001,813110,81311008,Religious Organizations,0,7.0,0,7,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
866,866,Gator Wesley Foundation,1380 W University Ave,GAINESVILLE,FL,32603,29.652126000000003,-82.34026800000001,813110,81311009,Religious Organizations,0,3.0,0,3,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
899,899,University Lutheran Church,1826 W University Ave,GAINESVILLE,FL,32603,29.65247,-82.34739300000001,813110,81311008,Religious Organizations,0,3.0,0,3,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
904,904,CAMPUS HOUSE-CHRISTIAN CAMPUS,16 NW 18TH ST,GAINESVILLE,FL,32603,29.652678,-82.346512,813110,81311008,RELIGIOUS ORGANIZATIONS,0,2.0,0,2,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
