,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
4779,4779,BBVA Compass,5901 W Newberry Rd,GAINESVILLE,FL,32605,29.659046000000004,-82.40614599999999,522110,52211002,Commercial Banking,0,7.0,0,7,2453,1145,937,1516,38%,62%,1995,212,0,184,0,6,56,472,1529,81.32898492,8.642478599999999,0.0,7.50101916,0.0,0.24459845,2.28291887,19.2417448,2.04,50,1714,411,556,25,1372,1245,0,0,47,49,0,31,1359,1071,338,24,84,0,62,12,74,30,198,84,103,76,15,13,23,9,37152,18.14105177,40.06849315
4932,4932,Wells Fargo Bank,6301 W Newberry Rd,GAINESVILLE,FL,32605,29.659205,-82.410028,522110,52211002,Commercial Banking,0,15.0,0,15,3802,1153,1723,2079,45%,55%,2674,866,0,114,0,0,148,186,2612,70.33140452,22.77748553,0.0,2.99842188,0.0,0.0,3.89268806,4.89216202,3.3,267,3321,200,28,22,2196,1749,12,0,334,82,0,19,2782,848,251,105,134,49,188,69,69,75,0,99,70,44,0,0,0,0,25568,6.28616518,60.99421357
5200,5200,Merchants & Southern Bank,3631 N Main St,GAINESVILLE,FL,32609,29.686173999999998,-82.31874499999999,522110,52211002,Commercial Banking,0,14.0,0,14,3012,677,1370,1642,45%,55%,395,2202,0,11,0,0,404,39,395,13.11420983,73.10756972,0.0,0.36520584,0.0,0.0,13.41301461,1.29482072,4.44,1255,801,824,264,24,896,782,0,70,0,31,0,13,869,1859,16,39,41,77,12,45,106,7,0,180,56,63,0,23,0,12,43393,2.68924303,16.33466135
5819,5819,Bank of America,2815 NW 13th St # 100,GAINESVILLE,FL,32609,29.678494,-82.338531,522110,52211002,Commercial Banking,0,11.0,0,11,1380,590,603,777,44%,56%,979,234,0,57,0,32,78,258,826,70.94202899,16.95652174,0.0,4.13043478,0.0,2.31884058,5.65217391,18.69565217,2.34,281,445,522,264,39,714,630,0,0,19,33,0,32,382,948,47,30,88,8,45,26,78,0,22,25,54,45,61,32,29,0,38962,13.76811594,23.39939024
6028,6028,Regions Bank,7515 SW 24th Ave,GAINESVILLE,FL,32607,29.630478000000004,-82.422682,522110,52211002,Commercial Banking,0,3.0,0,3,2022,809,986,1036,49%,51%,1786,128,42,17,0,0,49,13,1773,88.32838773,6.33036597,2.07715134,0.84075173,0.0,0.0,2.42334322,0.64292779,2.5,596,239,780,814,49,845,682,0,0,0,0,0,163,497,1379,0,66,18,0,16,42,0,49,74,68,26,44,160,25,9,212,102566,28.33827893,0.59347181
6101,6101,Wells Fargo Bank,2605 SW 91st St,GAINESVILLE,FL,32608,29.629101000000002,-82.438811,522110,52211002,Commercial Banking,0,8.0,0,8,2022,809,986,1036,49%,51%,1786,128,42,17,0,0,49,13,1773,88.32838773,6.33036597,2.07715134,0.84075173,0.0,0.0,2.42334322,0.64292779,2.5,596,239,780,814,49,845,682,0,0,0,0,0,163,497,1379,0,66,18,0,16,42,0,49,74,68,26,44,160,25,9,212,102566,28.33827893,0.59347181
6610,6610,Capital City Bank,5200 W Newberry Rd # A,GAINESVILLE,FL,32607,29.659106,-82.39836700000001,522110,52211002,Commercial Banking,0,7.0,0,7,1606,504,973,633,61%,39%,1191,336,0,13,16,0,50,99,1158,74.15940224,20.92154421,0.0,0.80946451,0.99626401,0.0,3.11332503,6.16438356,3.18,164,984,341,234,24,992,727,152,36,14,28,5,30,859,715,50,26,81,32,60,7,5,56,6,22,59,60,28,9,0,3,31071,9.6513076,47.75840598
6732,6732,PNC Bank,4340 W Newberry Rd # 101,GAINESVILLE,FL,32607,29.656440999999997,-82.3895,522110,52211002,Commercial Banking,0,8.0,0,8,1606,504,973,633,61%,39%,1191,336,0,13,16,0,50,99,1158,74.15940224,20.92154421,0.0,0.80946451,0.99626401,0.0,3.11332503,6.16438356,3.18,164,984,341,234,24,992,727,152,36,14,28,5,30,859,715,50,26,81,32,60,7,5,56,6,22,59,60,28,9,0,3,31071,9.6513076,47.75840598
6763,6763,Suntrust Bank,5080 W Newberry Rd,GAINESVILLE,FL,32607,29.658721999999997,-82.397064,522110,52211002,Commercial Banking,0,15.0,0,15,1606,504,973,633,61%,39%,1191,336,0,13,16,0,50,99,1158,74.15940224,20.92154421,0.0,0.80946451,0.99626401,0.0,3.11332503,6.16438356,3.18,164,984,341,234,24,992,727,152,36,14,28,5,30,859,715,50,26,81,32,60,7,5,56,6,22,59,60,28,9,0,3,31071,9.6513076,47.75840598
6768,6768,TD Bank,600 NW 43rd St,GAINESVILLE,FL,32607,29.657190000000003,-82.39016,522110,52211002,Commercial Banking,0,12.0,0,12,1606,504,973,633,61%,39%,1191,336,0,13,16,0,50,99,1158,74.15940224,20.92154421,0.0,0.80946451,0.99626401,0.0,3.11332503,6.16438356,3.18,164,984,341,234,24,992,727,152,36,14,28,5,30,859,715,50,26,81,32,60,7,5,56,6,22,59,60,28,9,0,3,31071,9.6513076,47.75840598
