,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
2360,2360,Cross Fit Gainesville,1126 NW 2nd St # B,GAINESVILLE,FL,32601,29.66232,-82.326864,713940,71394011,Fitness & Recreational Sports Centers,0,2.0,0,2,1846,859,688,1158,37%,63%,1235,447,0,46,0,17,101,120,1146,66.90140845,24.21451788,0.0,2.49187432,0.0,0.92091008,5.47128927,6.50054171,2.11,296,970,408,344,28,809,446,0,252,17,76,0,18,821,991,258,106,135,65,10,45,40,54,46,10,42,26,0,0,22,0,18515,6.17551463,49.89094875
2613,2613,GAINESVILLE ROLLER REBELS INC,425 NW 10TH AVE,GAINESVILLE,FL,32601,29.660943,-82.329685,713940,71394025,FITNESS & RECREATIONAL SPORTS CENTERS,0,10.0,0,10,1846,859,688,1158,37%,63%,1235,447,0,46,0,17,101,120,1146,66.90140845,24.21451788,0.0,2.49187432,0.0,0.92091008,5.47128927,6.50054171,2.11,296,970,408,344,28,809,446,0,252,17,76,0,18,821,991,258,106,135,65,10,45,40,54,46,10,42,26,0,0,22,0,18515,6.17551463,49.89094875
2963,2963,Solo Pro,4741 NW 8th Ave # B,GAINESVILLE,FL,32605,29.658953999999998,-82.39369599999999,713940,71394011,Fitness & Recreational Sports Centers,0,5.0,0,5,1606,504,973,633,61%,39%,1191,336,0,13,16,0,50,99,1158,74.15940224,20.92154421,0.0,0.80946451,0.99626401,0.0,3.11332503,6.16438356,3.18,164,984,341,234,24,992,727,152,36,14,28,5,30,859,715,50,26,81,32,60,7,5,56,6,22,59,60,28,9,0,3,31071,9.6513076,47.75840598
3210,3210,Curves,5000 NW 34th Blvd # 3,GAINESVILLE,FL,32605,29.698096000000003,-82.36760699999999,713940,71394011,Fitness & Recreational Sports Centers,0,2.0,0,2,724,318,357,367,49%,51%,394,294,0,19,0,0,17,84,361,54.419889500000004,40.60773481,0.0,2.62430939,0.0,0.0,2.3480662999999997,11.60220994,2.28,83,233,204,408,51,455,403,0,0,52,0,0,0,157,552,0,0,0,33,62,0,52,0,15,15,30,47,64,0,0,0,49500,9.116022099999999,0.0
3968,3968,Jonesville Tennis,14080 NW 32nd Ave,GAINESVILLE,FL,32606,29.667928999999997,-82.471424,713940,71394022,Fitness & Recreational Sports Centers,0,15.0,0,15,4184,1605,1864,2320,45%,55%,3410,237,0,335,0,8,194,504,3025,81.50095602,5.66443595,0.0,8.00669216,0.0,0.19120459,4.63671128,12.0458891,2.61,945,1010,1390,1678,42,2051,1962,0,0,0,0,21,68,1161,2965,88,0,42,59,62,67,20,77,32,43,220,359,144,59,142,191,79860,23.15965583,4.254302099999999
4449,4449,300 Club,3715 NW 12th Ave,GAINESVILLE,FL,32605,29.662937,-82.37965600000001,713940,71394019,Fitness & Recreational Sports Centers,0,10.0,0,10,1971,863,986,985,50%,50%,1704,142,7,63,0,55,0,65,1704,86.45357686,7.20446474,0.35514967,3.19634703,0.0,2.79046169,0.0,3.29781837,2.28,273,603,643,904,46,944,650,39,104,34,0,13,104,498,1417,87,11,0,45,15,38,0,15,100,74,155,111,76,72,25,39,67431,19.12734652,6.3419584
4974,4974,Thelma A Boltin Ctr,516 NE 2nd Ave,GAINESVILLE,FL,32601,29.653614,-82.320572,713940,71394015,Fitness & Recreational Sports Centers,0,3.0,0,3,479,309,246,233,51%,49%,456,0,0,0,0,0,23,62,394,95.19832985,0.0,0.0,0.0,0.0,0.0,4.80167015,12.94363257,1.55,16,251,198,28,34,358,114,0,108,53,29,0,54,179,300,59,13,0,35,0,40,0,0,0,41,33,25,28,0,12,23,50457,16.49269311,17.95407098
6103,6103,Zen Fitness,2440 SW 76th St # 140,GAINESVILLE,FL,32608,29.630095,-82.42414699999999,713940,71394013,Fitness & Recreational Sports Centers,0,7.0,0,7,2022,809,986,1036,49%,51%,1786,128,42,17,0,0,49,13,1773,88.32838773,6.33036597,2.07715134,0.84075173,0.0,0.0,2.42334322,0.64292779,2.5,596,239,780,814,49,845,682,0,0,0,0,0,163,497,1379,0,66,18,0,16,42,0,49,74,68,26,44,160,25,9,212,102566,28.33827893,0.59347181
6951,6951,J T Personal Training,7220 W University Ave,GAINESVILLE,FL,32607,29.653683,-82.419768,713940,71394013,Fitness & Recreational Sports Centers,0,2.0,0,2,1655,579,787,868,48%,52%,770,686,0,51,0,23,125,164,704,46.52567976,41.45015106,0.0,3.081571,0.0,1.3897281000000001,7.55287009,9.90936556,2.86,668,603,327,114,24,584,460,0,0,19,105,0,0,603,836,140,105,113,13,12,47,39,36,17,0,37,0,20,0,0,0,17060,5.43806647,45.25679758
6963,6963,My Gym,7321 NW 4th Blvd,GAINESVILLE,FL,32607,29.655157,-82.421102,713940,71394024,Fitness & Recreational Sports Centers,0,6.0,0,6,1655,579,787,868,48%,52%,770,686,0,51,0,23,125,164,704,46.52567976,41.45015106,0.0,3.081571,0.0,1.3897281000000001,7.55287009,9.90936556,2.86,668,603,327,114,24,584,460,0,0,19,105,0,0,603,836,140,105,113,13,12,47,39,36,17,0,37,0,20,0,0,0,17060,5.43806647,45.25679758
