,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
9549,9549,ALBERTSONS,3930 SW ARCHER RD,GAINESVILLE,FL,32608,29.619121999999997,-82.382915,445110,44511003,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,0,0.0,100,100,699,386,410,289,59%,41%,424,2,0,140,0,0,133,87,348,60.65808298,0.28612303,0.0,20.028612300000002,0.0,0.0,19.02718169,12.44635193,1.8,17,552,130,0,26,414,201,0,0,34,111,27,41,268,414,54,67,0,21,18,130,0,21,12,19,0,14,30,0,0,0,31231,6.15164521,36.33762518
9764,9764,La Aurora Latin Market,3721 W University Ave,GAINESVILLE,FL,32607,29.651721999999996,-82.378303,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,3,3,664,337,291,373,44%,56%,604,0,0,32,0,0,28,0,604,90.96385542,0.0,0.0,4.81927711,0.0,0.0,4.21686747,0.0,1.97,46,115,373,260,53,323,239,0,51,20,0,0,13,93,571,52,0,0,0,12,32,36,23,0,74,21,34,38,15,0,0,51985,19.42771084,12.65060241
10011,10011,FRITO-LAY,2170 NE 31ST AVE,GAINESVILLE,FL,32609,29.681915000000004,-82.291802,445110,44511002,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,0,0.0,5,5,955,354,342,613,36%,64%,299,590,0,0,0,27,39,363,157,31.30890052,61.78010471,0.0,0.0,0.0,2.82722513,4.08376963,38.010471200000005,2.68,295,291,335,68,23,300,276,0,0,24,0,0,0,258,613,193,29,0,13,11,18,4,27,7,12,13,8,19,0,0,0,7895,0.94240838,58.95287958
10020,10020,FOOD MART,2222 NE WALDO RD,GAINESVILLE,FL,32609,29.673529,-82.29753000000001,445110,44511003,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,0,0.0,3,3,965,415,398,567,41%,59%,349,616,0,0,0,0,0,137,212,36.16580311,63.83419689,0.0,0.0,0.0,0.0,0.0,14.19689119,2.33,58,296,555,112,45,658,581,0,0,54,0,0,23,182,783,38,40,0,10,96,12,0,0,36,25,68,0,90,0,0,0,45799,23.73056995,11.70984456
10947,10947,Fastrac Markets,11921 NW US Highway 441,GAINESVILLE,FL,32653,29.734553000000002,-82.379565,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,7,7,886,381,488,398,55%,45%,784,30,0,8,0,2,62,2,784,88.48758465,3.38600451,0.0,0.90293454,0.0,0.22573363,6.99774266,0.22573363,2.31,154,308,267,314,36,408,385,0,21,0,0,0,2,207,656,80,9,42,37,24,18,9,17,25,14,33,9,47,17,0,0,27344,7.44920993,11.51241535
11228,11228,Save-A-Lot Food Stores,2302 SE Hawthorne Rd,GAINESVILLE,FL,32641,29.645478999999998,-82.294262,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,17,17,2255,802,833,1422,37%,63%,235,1896,0,13,0,0,111,0,235,10.42128603,84.07982262,0.0,0.57649667,0.0,0.0,4.92239468,0.0,2.79,766,730,545,428,28,616,493,0,0,72,11,0,29,586,1545,218,101,95,108,14,31,47,35,46,50,44,13,0,0,0,0,18917,2.66075388,46.53061224
11369,11369,Aquatic Food Products Lab,PO Box 110375,GAINESVILLE,FL,32611,29.642009,-82.35047,445110,44511002,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,15,15,4209,451,2211,1998,53%,47%,2937,420,18,528,0,113,193,667,2420,69.7790449,9.97861725,0.42765502,12.5445474,0.0,2.68472321,4.58541221,15.84699454,1.6,139,3977,93,0,20,928,309,16,50,271,201,0,81,3956,230,86,50,114,107,37,29,14,3,0,4,0,7,0,0,0,0,18925,2.70848182,37.08333333
11407,11407,Reitz Union Food Court,PO Box 118506,GAINESVILLE,FL,32611,29.642009,-82.35047,445110,44511002,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,15,15,4209,451,2211,1998,53%,47%,2937,420,18,528,0,113,193,667,2420,69.7790449,9.97861725,0.42765502,12.5445474,0.0,2.68472321,4.58541221,15.84699454,1.6,139,3977,93,0,20,928,309,16,50,271,201,0,81,3956,230,86,50,114,107,37,29,14,3,0,4,0,7,0,0,0,0,18925,2.70848182,37.08333333
11840,11840,Fresh Food Co,60 Inner Dr,GAINESVILLE,FL,32610,29.638811999999998,-82.34455200000001,445110,44511002,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,100,100,1313,20,454,859,35%,65%,1025,96,4,104,0,31,53,218,845,78.06549886,7.31150038,0.30464585,7.92079208,0.0,2.36100533,4.0365575,16.60319878,1.35,30,1244,31,16,19,210,53,0,39,14,87,0,17,1270,43,4,4,0,0,0,9,0,0,0,0,3,0,0,0,0,0,33056,0.53313024,29.62962963
11868,11868,Graham Oasis,University of Florida,GAINESVILLE,FL,32610,29.638811999999998,-82.34455200000001,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,5,5,1313,20,454,859,35%,65%,1025,96,4,104,0,31,53,218,845,78.06549886,7.31150038,0.30464585,7.92079208,0.0,2.36100533,4.0365575,16.60319878,1.35,30,1244,31,16,19,210,53,0,39,14,87,0,17,1270,43,4,4,0,0,0,9,0,0,0,0,3,0,0,0,0,0,33056,0.53313024,29.62962963
