ogc_fid,total_businesses,total_apartments,number_of_crimes,total_pop,households,male,female,white,black,ameri_es,asian,hawn_pi,other,multi_race,hispanic,age_below_18,age_18_40,age_40_65,age_65,age_median,tran_total,tran_car,tran_moto,tran_bike,tran_pub,tran_walk,tran_other,tran_home,student,less_10k,10k_14k,15k_19k,20k_24k,25k_29k,30k_34k,35k_39k,40k_44k,45k_49k,50k_59k,60k_74k,75k_99k,100k_124k,125k_149k,150k_199k,120k_more
56,0,0,562,825,391,484,341,531,294,0,0,0,0,0,54,161,215,346,206,42,484,467,0,2,15,0,0,0,306,48,19,19,43,18,19,15,15,0,11,22,56,106,0,0,0
57,0,0,344,724,318,357,367,394,294,0,19,0,0,17,84,83,233,204,408,51,455,403,0,0,52,0,0,0,157,0,0,0,33,62,0,52,0,15,15,30,47,64,0,0,0
58,0,0,475,1805,615,1097,708,1429,34,89,34,0,120,99,395,333,699,640,266,33,1105,960,0,0,34,0,11,100,295,11,0,0,0,20,35,17,0,13,69,147,151,21,103,23,5
59,4,3,1059,1867,750,923,944,1182,467,0,61,0,0,157,254,287,1259,280,82,26,1082,955,19,7,51,41,0,9,803,155,56,21,33,49,19,92,32,12,40,46,120,54,0,12,9
60,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,231,1952,857,969,983,1368,416,0,94,0,23,51,122,394,934,430,388,28,986,864,38,0,0,51,10,23,479,65,44,46,144,26,111,51,100,7,94,60,38,31,0,40,0
63,0,0,58,3176,1396,1239,1937,2032,986,17,81,0,0,60,528,967,1206,749,508,30,1516,1350,29,0,98,31,0,8,847,171,142,106,57,68,66,170,85,162,59,111,116,21,14,12,36
64,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,6,2,958,2804,1146,1314,1490,2039,210,4,512,0,17,22,347,579,837,946,884,40,1416,1272,0,26,14,0,86,18,730,56,31,37,65,49,114,25,75,60,85,33,185,162,52,85,32
66,0,0,621,1830,734,811,1019,1301,419,0,110,0,0,0,27,571,477,661,242,34,894,792,0,17,37,17,0,31,557,27,63,20,18,54,37,28,106,27,22,160,74,67,31,0,0
67,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,1,2199,2268,894,1123,1145,453,1772,0,0,0,0,43,16,449,730,674,830,39,701,614,0,0,49,0,0,38,289,195,73,82,85,63,100,57,33,0,55,50,79,0,10,12,0
69,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4,0,3289,2255,802,833,1422,235,1896,0,13,0,0,111,0,766,730,545,428,28,616,493,0,0,72,11,0,29,586,218,101,95,108,14,31,47,35,46,50,44,13,0,0,0,0
